,STATE_UT_NAME,DISTRICT,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,lat,longs
12,ARUNACHAL PRADESH,UPPER SIANG,74.3,176.7,362.6,397.5,408.7,801.9,653.0,417.9,686.0,264.9,86.9,71.7,4402.1,251.0,1168.8,2558.8,423.5,13.347490,77.102173
13,ARUNACHAL PRADESH,WEST SIANG,26.0,66.7,76.8,229.2,239.5,416.6,592.4,312.4,291.1,126.8,33.7,29.5,2440.7,92.7,545.5,1612.5,190.0,13.347490,77.102173
14,ARUNACHAL PRADESH,DIBANG VALLEY,83.7,153.9,303.5,383.6,268.0,374.2,272.0,160.5,266.7,167.2,64.0,56.0,2553.3,237.6,955.1,1073.4,287.2,13.347490,77.102173
15,ARUNACHAL PRADESH,WEST KAMENG,35.2,43.5,58.9,134.3,341.1,665.3,749.9,579.1,490.9,233.9,40.3,27.0,3399.4,78.7,534.3,2485.2,301.2,13.347490,77.102173
16,ARUNACHAL PRADESH,EAST KAMENG,49.0,74.4,96.5,156.9,208.0,345.7,368.5,256.2,275.9,138.2,34.4,27.2,2030.9,123.4,461.4,1246.3,199.8,13.347490,77.102173
17,ARUNACHAL PRADESH,TAWANG(W KAME,35.2,43.5,58.9,134.3,341.1,665.3,749.9,579.1,490.9,233.9,40.3,27.0,3399.4,78.7,534.3,2485.2,301.2,13.347490,77.102173
18,ARUNACHAL PRADESH,KURUNG KUMEY,82.7,70.0,128.2,245.7,271.4,292.7,404.0,276.3,283.5,92.3,32.3,42.4,2221.5,152.7,645.3,1256.5,167.0,13.347490,77.102173
19,ASSAM,CACHAR,13.3,50.2,168.3,262.5,386.4,532.1,526.2,470.8,360.8,182.4,34.8,11.4,2999.2,63.5,817.2,1889.9,228.6,13.347490,77.102173
20,ASSAM,DARRANG,13.1,21.4,53.5,168.8,320.0,419.7,345.8,272.1,221.5,95.4,17.2,9.3,1957.8,34.5,542.3,1259.1,121.9,13.347490,77.102173
21,ASSAM,GOALPARA,12.7,20.4,51.1,196.6,399.8,567.8,502.8,334.6,304.9,157.7,21.7,5.2,2575.3,33.1,647.5,1710.1,184.6,13.347490,77.102173
22,ASSAM,KAMRUP,12.0,20.8,58.6,151.7,293.4,365.5,345.1,248.7,188.4,106.6,15.1,7.5,1813.4,32.8,503.7,1147.7,129.2,13.347490,77.102173
23,ASSAM,LAKHIMPUR,27.7,48.6,76.7,165.5,331.9,528.3,605.2,467.6,424.1,140.3,23.0,20.4,2859.3,76.3,574.1,2025.2,183.7,13.347490,77.102173
24,ASSAM,NORTH CACHAR,16.7,47.5,158.9,207.9,308.0,328.1,270.3,201.3,189.1,196.4,42.1,11.2,1977.5,64.2,674.8,988.8,249.7,13.347490,77.102173
25,ASSAM,NAGAON,12.0,22.5,48.1,128.9,171.3,285.9,326.3,294.1,218.6,120.0,21.6,10.8,1660.1,34.5,348.3,1124.9,152.4,13.347490,77.102173
26,ASSAM,SIVASAGAR,20.1,33.2,78.3,126.5,257.1,255.5,374.8,342.3,196.9,96.3,20.3,10.3,1811.6,53.3,461.9,1169.5,126.9,13.347490,77.102173
27,ASSAM,BARPETA,10.3,26.9,54.0,175.7,391.5,694.3,757.3,527.3,462.1,142.1,20.4,12.7,3274.6,37.2,621.2,2441.0,175.2,13.347490,77.102173
28,ASSAM,DHUBRI,10.3,11.7,46.6,147.5,391.6,603.0,554.7,418.7,340.1,155.1,19.2,4.1,2702.6,22.0,585.7,1916.5,178.4,13.347490,77.102173
29,ASSAM,DIBRUGARH,30.6,53.1,119.8,229.9,292.4,401.0,519.4,405.1,325.9,136.9,24.0,18.5,2556.6,83.7,642.1,1651.4,179.4,13.347490,77.102173
30,ASSAM,JORHAT,22.2,36.7,80.1,204.6,277.4,288.8,390.7,346.9,272.7,121.7,25.6,15.6,2083.0,58.9,562.1,1299.1,162.9,13.347490,77.102173
31,ASSAM,KARIMGANJ,13.2,35.2,169.7,340.4,604.0,645.2,646.0,438.0,418.7,240.4,86.8,13.2,3650.8,48.4,1114.1,2147.9,340.4,13.347490,77.102173
32,ASSAM,KOKRAJHAR,10.9,27.9,45.8,216.4,461.1,822.2,864.2,677.1,462.9,159.5,18.1,6.1,3772.2,38.8,723.3,2826.4,183.7,13.347490,77.102173
33,ASSAM,SHONITPUR,19.4,23.1,50.0,144.3,284.1,363.1,384.2,337.9,229.2,109.7,20.9,12.6,1978.5,42.5,478.4,1314.4,143.2,13.347490,77.102173
34,ASSAM,GOLAGHAT,16.9,29.5,65.2,135.9,245.6,254.2,314.7,271.4,209.3,103.7,19.6,14.7,1680.7,46.4,446.7,1049.6,138.0,13.347490,77.102173
35,ASSAM,TINSUKIA,26.6,58.4,131.2,215.9,272.7,388.3,515.3,387.2,327.0,118.7,25.1,18.9,2485.3,85.0,619.8,1617.8,162.7,13.347490,77.102173
36,ASSAM,HAILAKANDI,7.3,42.0,123.8,239.0,416.2,470.4,426.8,406.9,317.0,150.6,36.5,9.1,2645.6,49.3,779.0,1621.1,196.2,13.347490,77.102173
37,ASSAM,DHEMAJI(LAKHI,27.7,48.6,76.7,165.5,331.9,528.3,605.2,467.6,424.1,140.3,23.0,20.4,2859.3,76.3,574.1,2025.2,183.7,13.347490,77.102173
38,ASSAM,KARBI ANGLONG,12.8,24.1,53.8,106.3,139.4,224.9,238.7,220.5,182.9,100.1,26.3,11.2,1341.0,36.9,299.5,867.0,137.6,13.347490,77.102173
39,ASSAM,UDALGURI(DARA,13.1,21.4,53.5,168.8,320.0,419.7,345.8,272.1,221.5,95.4,17.2,9.3,1957.8,34.5,542.3,1259.1,121.9,13.347490,77.102173
40,ASSAM,KAMRUP METROP,12.0,20.8,58.6,151.7,293.4,365.5,345.1,248.7,188.4,106.6,15.1,7.5,1813.4,32.8,503.7,1147.7,129.2,13.347490,77.102173
41,ASSAM,CHIRANG(BONGAI,10.0,31.2,57.5,183.4,442.0,626.3,776.6,486.8,406.4,168.2,18.7,11.6,3218.7,41.2,682.9,2296.1,198.5,13.347490,77.102173
42,ASSAM,BAKSA BARPETA,10.3,26.9,54.0,175.7,391.5,694.3,757.3,527.3,462.1,142.1,20.4,12.7,3274.6,37.2,621.2,2441.0,175.2,13.347490,77.102173
43,ASSAM,BONGAIGAON,10.0,31.2,57.5,183.4,442.0,626.3,776.6,486.8,406.4,168.2,18.7,11.6,3218.7,41.2,682.9,2296.1,198.5,13.347490,77.102173
44,ASSAM,MORIGAON,18.7,24.4,51.6,116.8,169.1,310.1,374.8,309.2,221.4,119.3,19.9,8.2,1743.5,43.1,337.5,1215.5,147.4,13.347490,77.102173
45,ASSAM,NALBARI,14.9,18.6,56.7,184.6,380.7,551.2,470.9,322.0,220.2,110.4,21.6,4.8,2356.6,33.5,622.0,1564.3,136.8,13.347490,77.102173
46,MEGHALAYA,EAST KHASI HI,15.4,24.1,129.7,312.5,733.7,1476.2,1518.4,1019.4,607.8,277.9,40.3,10.7,6166.1,39.5,1175.9,4621.8,328.9,13.347490,77.102173
47,MEGHALAYA,JAINTIA HILLS,33.8,44.1,115.1,282.3,598.8,1316.1,1591.3,933.8,826.3,517.7,110.9,9.7,6379.9,77.9,996.2,4667.5,638.3,13.347490,77.102173
48,MEGHALAYA,EAST GARO HIL,5.6,16.0,64.0,244.4,352.2,531.1,465.8,358.9,315.7,154.1,35.8,10.8,2554.4,21.6,660.6,1671.5,200.7,13.347490,77.102173
49,MEGHALAYA,RI-BHOI,16.2,15.1,55.8,117.1,273.3,340.5,425.6,400.2,313.2,125.4,25.7,8.8,2116.9,31.3,446.2,1479.5,159.9,13.347490,77.102173
50,MEGHALAYA,SOUTH GARO HI,6.8,10.7,48.7,180.9,350.0,492.6,476.4,385.2,327.3,155.7,16.1,9.4,2459.8,17.5,579.6,1681.5,181.2,13.347490,77.102173
51,MEGHALAYA,W KHASI HILL,19.7,31.1,61.3,160.5,352.3,651.5,1050.3,607.9,465.3,192.5,32.1,18.5,3643.0,50.8,574.1,2775.0,243.1,13.347490,77.102173
52,MEGHALAYA,WEST GARO HIL,6.8,10.7,48.7,180.9,350.0,492.6,476.4,385.2,327.3,155.7,16.1,9.4,2459.8,17.5,579.6,1681.5,181.2,13.347490,77.102173
53,MANIPUR,IMPHAL EAST,13.5,34.3,84.5,145.5,208.9,370.7,324.0,280.4,189.1,144.0,36.1,8.2,1839.2,47.8,438.9,1164.2,188.3,13.347490,77.102173
54,MANIPUR,SENAPATI,13.3,29.9,47.5,124.7,198.4,368.2,366.1,326.6,220.1,156.0,57.0,14.8,1922.6,43.2,370.6,1281.0,227.8,13.347490,77.102173
55,MANIPUR,TAMENGLONG,48.5,229.6,224.5,431.5,539.9,1158.7,1820.9,1522.1,726.3,376.1,144.0,7.2,7229.3,278.1,1195.9,5228.0,527.3,13.347490,77.102173
56,MANIPUR,CHANDEL,8.5,27.9,36.3,77.9,179.0,609.9,540.3,490.9,366.0,254.9,48.3,7.6,2647.5,36.4,293.2,2007.1,310.8,13.347490,77.102173
57,MANIPUR,UKHRUL,14.5,36.1,56.9,76.6,122.2,348.3,296.8,243.3,169.1,122.7,49.4,13.1,1549.0,50.6,255.7,1057.5,185.2,13.347490,77.102173
58,MANIPUR,THOUBAL,15.3,26.2,43.1,96.2,140.1,333.0,181.7,212.1,106.8,94.6,27.9,9.3,1286.3,41.5,279.4,833.6,131.8,13.347490,77.102173
59,MANIPUR,BISHNUPUR,54.5,50.0,112.4,108.1,159.3,435.6,310.4,368.9,219.4,237.0,56.9,15.0,2127.5,104.5,379.8,1334.3,308.9,13.347490,77.102173
60,MANIPUR,IMPHAL WEST,22.3,31.0,63.8,109.1,134.6,337.3,234.7,239.3,160.5,144.5,34.3,19.5,1530.9,53.3,307.5,971.8,198.3,13.347490,77.102173
61,MANIPUR,CHURACHANDPUR,13.0,31.1,72.7,187.3,238.0,422.1,407.6,382.6,348.3,173.2,50.1,11.4,2337.4,44.1,498.0,1560.6,234.7,13.347490,77.102173
62,MIZORAM,AIZAWL,13.8,31.2,107.9,185.8,351.4,467.7,448.7,480.7,390.9,254.5,65.3,16.5,2814.4,45.0,645.1,1788.0,336.3,13.347490,77.102173
63,MIZORAM,CHAMPHAI,13.4,21.8,83.0,122.7,261.5,350.5,369.3,336.6,296.1,226.7,64.5,22.5,2168.6,35.2,467.2,1352.5,313.7,13.347490,77.102173
64,MIZORAM,KOLASIB,13.4,40.0,131.6,183.5,316.4,437.6,431.9,453.2,369.8,219.8,49.9,12.9,2660.0,53.4,631.5,1692.5,282.6,13.347490,77.102173
65,MIZORAM,LUNGLEI,5.5,21.8,88.0,119.3,310.3,459.4,514.6,481.7,410.6,245.4,65.9,8.6,2731.1,27.3,517.6,1866.3,319.9,13.347490,77.102173
66,MIZORAM,CHHIMTUIPUI,13.8,31.2,107.9,185.8,351.4,467.7,448.7,480.7,390.9,254.5,65.3,16.5,2814.4,45.0,645.1,1788.0,336.3,13.347490,77.102173
67,MIZORAM,LAWNGTLAI,8.3,27.5,66.7,122.9,319.8,437.2,493.9,408.8,365.8,231.5,66.0,9.2,2557.6,35.8,509.4,1705.7,306.7,13.347490,77.102173
68,MIZORAM,MAMIT,13.8,31.2,107.9,185.8,351.4,467.7,448.7,480.7,390.9,254.5,65.3,16.5,2814.4,45.0,645.1,1788.0,336.3,13.347490,77.102173
69,MIZORAM,SAIHA,6.7,31.0,69.7,116.7,335.4,384.8,437.9,412.2,387.7,214.2,67.9,16.4,2480.6,37.7,521.8,1622.6,298.5,13.347490,77.102173
70,MIZORAM,SERCHHIP,15.4,33.8,103.6,150.9,294.3,395.9,477.1,430.7,346.7,167.3,71.6,18.5,2505.8,49.2,548.8,1650.4,257.4,13.347490,77.102173
71,NAGALAND,KOHIMA,12.3,28.8,55.8,89.8,162.0,308.2,365.4,376.1,258.3,130.2,31.8,6.1,1824.8,41.1,307.6,1308.0,168.1,13.347490,77.102173
72,NAGALAND,TUENSANG,23.7,26.8,65.7,177.2,225.7,350.3,441.8,352.2,241.8,122.5,41.6,10.7,2080.0,50.5,468.6,1386.1,174.8,13.347490,77.102173
73,NAGALAND,MOKOKCHUNG,23.4,31.1,60.9,138.3,287.1,525.5,525.1,394.2,231.3,137.3,43.1,12.5,2409.8,54.5,486.3,1676.1,192.9,13.347490,77.102173
74,NAGALAND,DIMAPUR,14.7,4.1,57.2,77.8,151.8,204.8,187.7,272.0,150.8,125.0,43.7,16.3,1305.9,18.8,286.8,815.3,185.0,13.347490,77.102173
75,NAGALAND,WOKHA,20.4,42.1,96.7,144.3,325.6,416.3,495.6,478.9,277.9,127.7,55.7,16.5,2497.7,62.5,566.6,1668.7,199.9,13.347490,77.102173
76,NAGALAND,MON,13.1,33.5,48.2,137.9,193.9,271.1,273.6,177.4,101.8,62.1,19.8,7.5,1339.9,46.6,380.0,823.9,89.4,13.347490,77.102173
77,NAGALAND,ZUNHEBOTO,23.7,26.8,65.7,177.2,225.7,350.3,441.8,352.2,241.8,122.5,41.6,10.7,2080.0,50.5,468.6,1386.1,174.8,13.347490,77.102173
78,NAGALAND,PHEK,12.3,28.8,55.8,89.8,162.0,308.2,365.4,376.1,258.3,130.2,31.8,6.1,1824.8,41.1,307.6,1308.0,168.1,13.347490,77.102173
79,NAGALAND,KEPHRIE,23.7,26.8,65.7,177.2,225.7,350.3,441.8,352.2,241.8,122.5,41.6,10.7,2080.0,50.5,468.6,1386.1,174.8,13.347490,77.102173
80,NAGALAND,LONGLENG,23.7,26.8,65.7,177.2,225.7,350.3,441.8,352.2,241.8,122.5,41.6,10.7,2080.0,50.5,468.6,1386.1,174.8,13.347490,77.102173
81,NAGALAND,PEREN,12.3,28.8,55.8,89.8,162.0,308.2,365.4,376.1,258.3,130.2,31.8,6.1,1824.8,41.1,307.6,1308.0,168.1,13.347490,77.102173
82,TRIPURA,NORTH TRIPURA,13.6,37.2,118.4,272.8,440.1,477.5,402.7,367.7,279.8,173.8,45.1,13.1,2641.8,50.8,831.3,1527.7,232.0,13.347490,77.102173
83,TRIPURA,SOUTH TRIPURA,8.1,30.6,78.5,169.7,335.0,474.9,497.4,396.8,255.1,175.1,44.5,9.7,2475.4,38.7,583.2,1624.2,229.3,13.347490,77.102173
84,TRIPURA,WEST TRIPURA,9.6,27.9,72.1,194.2,359.9,426.6,395.9,323.2,250.6,174.9,41.5,10.3,2286.7,37.5,626.2,1396.3,226.7,13.347490,77.102173
85,TRIPURA,DHALAI,13.6,38.9,105.5,246.3,431.3,482.7,363.9,338.2,255.9,182.8,42.1,11.4,2512.6,52.5,783.1,1440.7,236.3,13.347490,77.102173
86,WEST BENGAL,COOCH BEHAR,8.9,16.0,32.2,138.9,345.4,668.8,864.9,733.0,470.9,141.3,15.1,8.3,3443.7,24.9,516.5,2737.6,164.7,13.347490,77.102173
87,WEST BENGAL,DARJEELING,48.3,33.8,57.7,130.5,262.3,534.7,756.9,645.9,502.8,118.9,16.8,9.9,3118.5,82.1,450.5,2440.3,145.6,13.347490,77.102173
88,WEST BENGAL,JALPAIGURI,9.2,17.8,39.7,119.3,339.3,667.3,931.4,670.9,488.3,159.9,18.0,7.2,3468.3,27.0,498.3,2757.9,185.1,13.347490,77.102173
89,WEST BENGAL,MALDA,13.6,10.5,14.5,34.8,106.2,216.6,332.9,284.8,283.0,102.5,13.2,6.8,1419.4,24.1,155.5,1117.3,122.5,13.347490,77.102173
90,WEST BENGAL,SOUTH DINAJPUR,8.9,13.3,19.0,58.9,167.8,289.3,368.9,248.0,279.7,112.5,13.0,5.6,1584.9,22.2,245.7,1185.9,131.1,13.347490,77.102173
91,WEST BENGAL,NORTH DINAJPUR,21.5,2.0,8.0,35.7,162.9,316.0,367.0,307.7,403.8,90.7,9.1,3.2,1727.6,23.5,206.6,1394.5,103.0,13.347490,77.102173
92,SIKKIM,NORTH SIKKIM,61.6,98.5,199.5,238.3,355.4,503.0,489.4,428.2,389.7,265.0,43.5,22.4,3094.5,160.1,793.2,1810.3,330.9,13.347490,77.102173
93,SIKKIM,EAST SIKKIM,33.5,56.1,61.7,175.5,291.7,464.6,509.0,441.0,356.6,154.7,18.4,19.4,2582.2,89.6,528.9,1771.2,192.5,13.347490,77.102173
94,SIKKIM,WEST SIKKIM,61.6,98.5,199.5,238.3,355.4,503.0,489.4,428.2,389.7,265.0,43.5,22.4,3094.5,160.1,793.2,1810.3,330.9,13.347490,77.102173
95,SIKKIM,SOUTH SIKKIM,33.5,56.1,61.7,175.5,291.7,464.6,509.0,441.0,356.6,154.7,18.4,19.4,2582.2,89.6,528.9,1771.2,192.5,13.347490,77.102173
96,WEST BENGAL,BANKURA,12.0,18.0,22.0,36.3,66.9,215.0,303.2,290.7,242.3,105.2,9.8,9.5,1330.9,30.0,125.2,1051.2,124.5,13.347490,77.102173
97,WEST BENGAL,BIRBHUM,13.4,16.1,21.2,30.9,78.7,222.3,313.9,298.8,271.0,105.1,15.8,5.6,1392.8,29.5,130.8,1106.0,126.5,13.347490,77.102173
98,WEST BENGAL,BURDWAN,10.7,22.2,19.8,37.8,78.8,198.2,294.1,285.3,251.1,99.8,11.4,6.0,1315.2,32.9,136.4,1028.7,117.2,13.347490,77.102173
99,WEST BENGAL,HOOGHLY,11.9,26.6,28.2,50.6,108.5,243.4,316.1,265.1,243.3,102.1,16.0,6.9,1418.7,38.5,187.3,1067.9,125.0,13.347490,77.102173
100,WEST BENGAL,HOWRAH,12.2,24.9,32.0,52.6,126.4,233.2,343.2,329.4,305.6,99.1,31.3,10.1,1600.0,37.1,211.0,1211.4,140.5,13.347490,77.102173
101,WEST BENGAL,PURULIA,14.3,20.7,24.6,36.1,57.3,222.1,298.7,307.0,266.7,91.5,16.7,7.6,1363.3,35.0,118.0,1094.5,115.8,13.347490,77.102173
102,WEST BENGAL,MURSHIDABAD,16.8,11.2,19.0,34.0,87.0,237.6,328.6,256.9,256.2,126.3,11.0,6.5,1391.1,28.0,140.0,1079.3,143.8,13.347490,77.102173
103,WEST BENGAL,NADIA,12.2,17.6,21.1,42.1,95.2,234.1,270.8,236.0,214.1,100.2,10.4,7.8,1261.6,29.8,158.4,955.0,118.4,13.347490,77.102173
104,WEST BENGAL,NORTH 24 PARG,15.6,17.8,30.3,51.5,113.4,271.9,317.2,304.3,279.4,130.9,21.8,5.7,1559.8,33.4,195.2,1172.8,158.4,13.347490,77.102173
105,WEST BENGAL,SOUTH 24 PARG,13.6,26.7,37.9,41.7,125.1,316.0,463.6,416.2,356.8,218.4,62.3,9.7,2088.0,40.3,204.7,1552.6,290.4,13.347490,77.102173
106,WEST BENGAL,EAST MIDNAPOR,15.9,18.6,31.8,34.7,108.1,253.5,284.9,338.7,343.2,196.9,34.0,9.3,1669.6,34.5,174.6,1220.3,240.2,13.347490,77.102173
107,WEST BENGAL,WEST MIDNAPOR,12.2,24.1,39.0,56.8,107.6,243.8,329.5,316.0,276.8,106.5,17.9,5.3,1535.5,36.3,203.4,1166.1,129.7,13.347490,77.102173
108,WEST BENGAL,KOLKATA,14.4,24.7,33.5,53.1,113.4,278.3,361.0,335.2,306.6,155.3,24.8,8.9,1709.2,39.1,200.0,1281.1,189.0,13.347490,77.102173
109,ORISSA,BALASORE,11.9,36.0,38.4,59.2,120.9,259.1,287.2,334.4,296.4,190.1,38.8,6.6,1679.0,47.9,218.5,1177.1,235.5,13.347490,77.102173
110,ORISSA,BOLANGIR,11.1,15.9,20.1,22.7,37.5,200.5,386.2,366.9,220.5,69.5,13.6,6.3,1370.8,27.0,80.3,1174.1,89.4,13.347490,77.102173
111,ORISSA,KANDHAMAL/PHU,12.7,26.2,29.8,36.2,68.2,199.7,319.2,373.2,230.2,114.6,34.2,4.1,1448.3,38.9,134.2,1122.3,152.9,13.347490,77.102173
112,ORISSA,CUTTACK,14.7,26.9,28.9,43.2,74.3,227.2,338.0,352.3,245.0,124.5,40.2,4.5,1519.7,41.6,146.4,1162.5,169.2,13.347490,77.102173
113,ORISSA,DHENKANAL,7.3,20.8,31.3,38.4,71.2,226.1,315.8,369.1,233.4,125.5,25.5,4.6,1469.0,28.1,140.9,1144.4,155.6,13.347490,77.102173
114,ORISSA,GANJAM,13.3,22.7,30.3,41.5,85.3,158.8,219.2,245.0,210.4,198.4,70.8,8.8,1304.5,36.0,157.1,833.4,278.0,13.347490,77.102173
115,ORISSA,KALAHANDI,4.8,15.0,15.3,25.6,44.2,237.5,368.5,371.8,229.8,72.3,13.4,4.8,1403.0,19.8,85.1,1207.6,90.5,13.347490,77.102173
116,ORISSA,KEONDJHARGARH,16.2,31.8,37.0,50.2,101.2,232.9,277.7,320.2,225.7,113.6,24.5,5.7,1436.7,48.0,188.4,1056.5,143.8,13.347490,77.102173
117,ORISSA,KORAPUT,5.2,12.3,16.3,53.2,89.4,200.8,384.1,410.5,267.4,147.6,31.9,3.8,1622.5,17.5,158.9,1262.8,183.3,13.347490,77.102173
118,ORISSA,MAYURBHANJ,11.2,25.4,47.9,61.4,110.2,279.7,323.9,373.8,278.5,119.1,23.6,6.0,1660.7,36.6,219.5,1255.9,148.7,13.347490,77.102173
119,ORISSA,PURI,16.1,25.8,18.9,17.6,65.3,168.9,268.5,328.4,255.7,185.3,56.3,9.4,1416.2,41.9,101.8,1021.5,251.0,13.347490,77.102173
120,ORISSA,SAMBALPUR,12.1,19.9,20.1,15.6,32.4,226.6,418.3,464.6,251.6,58.2,9.0,5.1,1533.5,32.0,68.1,1361.1,72.3,13.347490,77.102173
121,ORISSA,SUNDARGARH,19.3,16.3,18.0,14.4,39.6,216.9,368.3,373.2,217.5,50.4,8.8,5.1,1347.8,35.6,72.0,1175.9,64.3,13.347490,77.102173
122,ORISSA,BHADRAK,9.9,34.1,37.6,53.1,103.9,218.4,269.8,354.0,227.7,159.5,35.3,4.1,1507.4,44.0,194.6,1069.9,198.9,13.347490,77.102173
123,ORISSA,JAJPUR,10.6,28.4,33.5,48.0,91.9,250.0,283.5,363.2,258.1,134.6,33.6,5.9,1541.3,39.0,173.4,1154.8,174.1,13.347490,77.102173
124,ORISSA,KENDRAPARA,8.4,32.6,37.2,27.8,90.5,205.8,257.4,362.6,262.7,179.9,70.2,5.5,1540.6,41.0,155.5,1088.5,255.6,13.347490,77.102173
125,ORISSA,ANGUL,6.9,19.1,25.1,29.7,55.4,205.8,320.2,355.4,228.0,98.1,14.7,3.6,1362.0,26.0,110.2,1109.4,116.4,13.347490,77.102173
126,ORISSA,NAWAPARA,12.5,11.8,16.9,24.0,33.9,182.9,347.3,302.1,184.9,60.7,14.8,5.6,1197.4,24.3,74.8,1017.2,81.1,13.347490,77.102173
127,ORISSA,MALKANGIRI,1.8,5.5,10.4,35.3,61.6,206.9,437.3,449.2,230.7,116.3,16.9,0.8,1572.7,7.3,107.3,1324.1,134.0,13.347490,77.102173
128,ORISSA,NAWARANGPUR,5.9,12.6,14.4,53.9,104.1,241.6,430.9,432.1,242.7,102.6,19.0,0.7,1660.5,18.5,172.4,1347.3,122.3,13.347490,77.102173
129,ORISSA,NAYAGARH,13.6,22.5,26.2,42.0,47.7,213.4,312.2,327.4,242.2,152.2,47.9,2.8,1450.1,36.1,115.9,1095.2,202.9,13.347490,77.102173
130,ORISSA,KHURDA,10.1,25.9,26.9,30.9,68.0,186.4,310.8,339.3,251.5,167.7,45.5,6.5,1469.5,36.0,125.8,1088.0,219.7,13.347490,77.102173
131,ORISSA,BARGARH,8.7,14.9,18.1,14.8,19.5,188.4,362.1,357.4,217.9,51.2,6.8,5.1,1264.9,23.6,52.4,1125.8,63.1,13.347490,77.102173
132,ORISSA,JHARSUGUDA,16.6,21.2,18.6,18.4,36.6,224.6,402.3,415.8,239.1,63.8,10.1,7.2,1474.3,37.8,73.6,1281.8,81.1,13.347490,77.102173
133,ORISSA,DEOGARH,12.1,19.9,20.1,15.6,32.4,226.6,418.3,464.6,251.6,58.2,9.0,5.1,1533.5,32.0,68.1,1361.1,72.3,13.347490,77.102173
134,ORISSA,RAYAGADA,12.4,23.1,38.5,56.0,94.0,173.2,314.6,266.5,206.2,109.4,29.0,4.0,1326.9,35.5,188.5,960.5,142.4,13.347490,77.102173
135,ORISSA,GAJAPATI,9.5,35.0,64.2,79.1,136.8,201.7,241.0,261.1,226.5,141.8,60.2,5.2,1462.1,44.5,280.1,930.3,207.2,13.347490,77.102173
136,ORISSA,JAGATSINGHAPU,10.7,29.0,35.3,41.3,107.1,237.2,287.3,360.6,235.7,145.1,67.5,8.2,1565.0,39.7,183.7,1120.8,220.8,13.347490,77.102173
137,ORISSA,BOUDHGARH,12.7,26.2,29.8,36.2,68.2,199.7,319.2,373.2,230.2,114.6,34.2,4.1,1448.3,38.9,134.2,1122.3,152.9,13.347490,77.102173
138,ORISSA,SONEPUR,6.0,14.3,18.5,14.3,30.4,178.2,380.4,432.5,252.3,56.9,6.7,4.9,1395.4,20.3,63.2,1243.4,68.5,13.347490,77.102173
