State Code,Indian Census State Code 2011,State Name,District Code,Indian Census District Code 2011,District Name,ICRISAT Indian Id,SAT/NONSAT District,Region Code,Region Name,Agro Ecological Zones ICRISAT,Agro Ecological Zones NATP,AEZ Production Zones NATP,Latitude,Longitude
3,240,Gujarat,131,483,Kheda,3510,1,1,Baroda division,3,5,5.4,22.3,73.3
3,240,Gujarat,132,468,Kutch,3509,2,2,Rajkot division,4,1,1.2,23.3,69.8
3,240,Gujarat,133,471,Mehsana,3511,1,1,Baroda division,3,5,5.4,23.8,71.6
3,240,Gujarat,134,484,Panchmahal,3512,1,1,Baroda division,3,5,5.4,22.9,73.8
3,240,Gujarat,135,476,Rajkot,3513,1,2,Rajkot division,3,1,1.2,22.3,70.8
3,240,Gujarat,136,472,Sabarkantha,3514,1,1,Baroda division,3,5,5.3,23.5,73.2
3,240,Gujarat,137,492,Surat,3515,1,1,Baroda division,3,5,5.4,21.2,72.1
3,240,Gujarat,138,475,Surendranagar,3516,1,2,Rajkot division,3,5,5.4,22.8,71.6
4,60,Haryana,177,800,Hissar,3605,2,3,Hissar division,4,4,4.2,29.2,75.7
4,60,Haryana,180,860,Gurgaon,3604,2,2,Gurgaon division,2,4,4.2,28.5,76.8
4,60,Haryana,181,770,Jind,3606,2,3,Hissar division,2,4,4.1,29.5,76.4
4,60,Haryana,182,840,Mahendragarh Narnaul,3609,2,2,Gurgaon division,2,4,4.2,28.4,76.2
4,60,Haryana,183,700,Ambala,3601,2,1,Ambala division,2,4,4.1,30.4,76.7
4,60,Haryana,184,740,Karnal,3607,2,4,Rohtak division,2,4,4.1,29.7,77
4,60,Haryana,186,820,Rohtak,3610,2,4,Rohtak division,4,4,4.2,28.9,76.6
5,290,Karnataka,64,585,Bangalore,3901,1,1,Bangalore division,3,5,5.2,13,77.6
5,290,Karnataka,65,581,Kolar,3913,1,1,Bangalore division,3,5,5.2,13.1,78.1
5,290,Karnataka,66,571,Tumkur,3918,1,1,Bangalore division,3,5,5.2,13.4,77.1
5,290,Karnataka,67,577,Mysore,3915,1,4,Mysore division,3,5,5.2,12.1,76.3
5,290,Karnataka,68,573,Mandya,3914,1,4,Mysore division,3,5,5.2,12.8,77.8
5,290,Karnataka,69,574,Hassan,3911,2,4,Mysore division,1,5,5.2,13,76.2
5,290,Karnataka,70,568,Shimoge,3917,2,1,Bangalore division,1,5,5.2,13.9,75.6
5,290,Karnataka,71,570,Chickmagalur,3906,2,4,Mysore division,1,5,5.2,13.3,75.8
5,290,Karnataka,72,566,Chitradurga,3907,1,1,Bangalore division,3,5,5.2,14.2,76.4
5,290,Karnataka,73,565,Bellary,3903,2,3,Gulbarga division,4,5,5.2,15.2,76.9
5,290,Karnataka,74,562,Dharwad,3909,1,2,Belgaum division,3,5,5.2,15.5,75
5,290,Karnataka,75,555,Belgaum,3902,1,2,Belgaum division,3,5,5.2,15.9,74.5
5,290,Karnataka,76,557,Bijapur Vijayapura,3905,1,2,Belgaum division,3,5,5.2,16.8,75.7
5,290,Karnataka,77,558,Bidar,3904,1,3,Gulbarga division,3,5,5.2,17.9,77.5
5,290,Karnataka,78,559,Raichur,3916,1,3,Gulbarga division,3,5,5.2,16.2,77.4
5,290,Karnataka,79,579,Gulbarga Kalaburagi,3910,1,3,Gulbarga division,3,5,5.2,17.4,76.9
5,290,Karnataka,80,575,Dakshina Kannada,3908,2,4,Mysore division,1,2,2.2,12.9,74.9
5,290,Karnataka,81,563,Uttara Kannada,3919,2,2,Belgaum division,1,2,2.2,14.8,75.5
5,290,Karnataka,82,576,Kodagu Coorg,3912,2,4,Mysore division,1,5,5.2,12.4,75.7
6,230,Madhya Pradesh,7,451,Jabalpur,1019,1,1,Jabalpur division,3,5,5.1,23,80
6,230,Madhya Pradesh,8,457,Balaghat,1001,2,1,Jabalpur division,1,5,5.1,22.1,80.6
6,230,Madhya Pradesh,9,455,Chhindwara,1008,1,1,Jabalpur division,3,5,5.3,22.1,79
6,230,Madhya Pradesh,10,452,Narsinghpur,1024,2,1,Jabalpur division,1,5,5.3,22.8,79
6,230,Madhya Pradesh,11,456,Seoni Shivani,1037,2,1,Jabalpur division,1,5,5.3,22.1,79.7
6,230,Madhya Pradesh,12,454,Mandla,1021,2,1,Jabalpur division,1,5,5.1,25,88.1
6,230,Madhya Pradesh,13,427,Sagar,1033,1,2,Sagar division,3,5,5.3,23.9,78.8
6,230,Madhya Pradesh,14,428,Damoh,1009,1,2,Sagar division,3,5,5.1,24.1,79.6
6,230,Madhya Pradesh,15,424,Tikamgarh,1042,2,2,Sagar division,2,5,5.3,24.9,78.9
6,230,Madhya Pradesh,16,425,Chhatarpur,1007,2,2,Sagar division,2,5,5.3,25.1,79.5
6,230,Madhya Pradesh,17,426,Panna,1025,2,2,Sagar division,2,5,5.1,24.3,80
6,230,Madhya Pradesh,18,430,Rewa,1032,2,3,Rewa division,2,5,5.1,24.5,81.3
6,230,Madhya Pradesh,19,462,Sidhi,1041,1,3,Rewa division,3,5,5.1,24.3,82
6,230,Madhya Pradesh,20,429,Satna,1035,2,3,Rewa division,2,5,5.1,24.6,80.1
6,230,Madhya Pradesh,21,460,Shahdol,1038,1,3,Rewa division,3,5,5.1,23.5,81.1
6,230,Madhya Pradesh,22,421,Gwalior,1016,2,6,Chambal division,2,5,5.3,26.2,78.3
6,230,Madhya Pradesh,23,423,Shivpuri,1040,1,6,Chambal division,3,5,5.3,24.6,77.5
6,230,Madhya Pradesh,24,458,Guna,1015,1,6,Chambal division,3,5,5.3,24.7,77.3
6,230,Madhya Pradesh,25,422,Datia,1010,2,6,Chambal division,2,5,5.3,25.7,78.5
6,230,Madhya Pradesh,26,419,Morena,1023,2,6,Chambal division,2,5,5.3,25.1,76.7
6,230,Madhya Pradesh,27,420,Bhind,1004,2,6,Chambal division,2,5,5.3,21.9,77.7
6,230,Madhya Pradesh,28,439,Indore,1018,1,4,Indore division,3,5,5.3,22.7,75.8
6,230,Madhya Pradesh,29,434,Ratlam,1031,1,5,Ujjain division,3,5,5.3,23,75
6,230,Madhya Pradesh,30,435,Ujjain,1043,1,5,Ujjain division,3,5,5.3,23.3,75.7
6,230,Madhya Pradesh,31,433,Mandsaur,1022,1,5,Ujjain division,3,5,5.3,24.3,75.2
6,230,Madhya Pradesh,32,437,Dewas,1011,1,5,Ujjain division,3,5,5.3,22.6,76.4
6,230,Madhya Pradesh,33,438,Dhar,1012,1,4,Indore division,3,5,5.3,22.5,75
6,230,Madhya Pradesh,34,464,Jhabua,1020,1,4,Indore division,3,5,5.3,22.6,74.4
6,230,Madhya Pradesh,35,440,Khargone West Nimar,1045,1,4,Indore division,3,5,5.3,21.9,75.4
6,230,Madhya Pradesh,36,466,Khandwa East Nimar,1014,1,4,Indore division,3,5,5.3,21.1,76.4
6,230,Madhya Pradesh,37,445,Sehore,1036,1,7,Bhopal division,3,5,5.3,22.9,77.1
6,230,Madhya Pradesh,38,446,Raisen,1028,1,7,Bhopal division,3,5,5.3,23.2,78.2
6,230,Madhya Pradesh,39,443,Vidisha,1044,1,7,Bhopal division,3,5,5.3,23.9,77.9
6,230,Madhya Pradesh,40,447,Betul,1003,1,7,Bhopal division,3,5,5.3,21.9,77.9
6,230,Madhya Pradesh,41,442,Rajgarh,1029,1,7,Bhopal division,3,5,5.3,23.9,76.8
6,230,Madhya Pradesh,42,436,Shajapur,1039,1,5,Ujjain division,3,5,5.3,23.4,76.4
6,230,Madhya Pradesh,43,449,Hoshangabad,1017,1,7,Bhopal division,3,5,5.3,22.8,77.8
7,270,Maharashtra,95,519,Bombay,1111,2,1,Konkan division,1,2,2.2,18.9,72.8
7,270,Maharashtra,96,517,Thane,1128,2,1,Konkan division,1,2,2.2,20,72.7
7,270,Maharashtra,97,520,Raigad,1123,2,1,Konkan division,1,2,2.2,18.4,73.1
7,270,Maharashtra,98,528,Ratnagiri,1119,2,1,Konkan division,1,2,2.2,17,73
7,270,Maharashtra,99,516,Nasik,1118,1,2,Nasik division,3,5,5.2,20.6,74.5
7,270,Maharashtra,100,498,Dhule,1109,1,2,Nasik division,3,5,5.2,21.1,74.6
7,270,Maharashtra,101,499,Jalgaon,1112,1,2,Nasik division,3,5,5.4,21.1,75.6
7,270,Maharashtra,102,522,Ahmednagar,1101,1,3,Pune division,3,5,5.2,19.1,74.9
7,270,Maharashtra,103,521,Pune,1122,1,3,Pune division,3,5,5.2,18.5,73.9
7,270,Maharashtra,104,527,Satara,1125,1,4,Kolhapur division,3,5,5.2,17.4,73.6
7,270,Maharashtra,105,531,Sangli,1124,1,4,Kolhapur division,3,5,5.2,16.9,74.8
7,270,Maharashtra,106,526,Solapur,1127,1,3,Pune division,3,5,5.2,17.1,75.9
7,270,Maharashtra,107,530,Kolhapur,1114,2,4,Kolhapur division,1,5,5.2,16.7,74.2
7,270,Maharashtra,108,515,Aurangabad,1104,1,5,Aurangabad division,3,5,5.2,19.9,75.3
7,270,Maharashtra,109,513,Parbhani,1121,1,6,Latur division,3,5,5.4,19.1,76.1
7,270,Maharashtra,110,523,Beed,1105,1,5,Aurangabad division,3,5,5.2,19,75.8
7,270,Maharashtra,111,511,Nanded,1117,1,6,Latur division,3,5,5.4,19.1,77.2
7,270,Maharashtra,112,525,Osmanabad,1120,1,6,Latur division,3,5,5.2,18,76.1
7,270,Maharashtra,113,500,Buldhana,1107,1,7,Amravati division,3,5,5.4,20.5,76.2
7,270,Maharashtra,114,501,Akola,1102,1,7,Amravati division,3,5,5.4,20.7,77
7,270,Maharashtra,115,503,Amarawati,1103,1,7,Amravati division,3,5,5.4,20.9,77.8
7,270,Maharashtra,116,510,Yeotmal,1130,1,7,Amravati division,3,5,5.4,20.4,78.1
7,270,Maharashtra,117,504,Wardha,1129,1,8,Nagpur division,3,5,5.4,20.9,78.4
7,270,Maharashtra,118,505,Nagpur,1116,1,8,Nagpur division,3,5,5.4,21.2,79.1
7,270,Maharashtra,119,506,Bhandara,1106,2,8,Nagpur division,1,5,5.1,20,79.3
7,270,Maharashtra,120,509,Chandrapur,1108,2,8,Nagpur division,1,5,5.4,19.4,80
8,210,Orissa,701,377,Balasore,1502,2,1,Coastal plains,1,2,2.1,21.1,86.9
8,210,Orissa,702,393,Bolangir,1501,2,3,Central plateau,1,5,5.1,20.3,83.2
8,210,Orissa,703,381,Cuttack,1503,2,1,Coastal plains,1,2,2.1,20.8,85.9
8,210,Orissa,704,383,Dhenkanal,1504,2,3,Central plateau,1,5,5.1,20.7,85.6
8,210,Orissa,705,388,Ganjam,1505,2,1,Coastal plains,1,2,2.1,19.3,84.9
8,210,Orissa,706,395,Kalahandi,1506,2,2,Southwestern plateau,1,5,5.1,19.3,83.1
8,210,Orissa,707,375,Keonjhar,1507,2,4,Northern plateau,1,5,5.1,21.6,85.6
8,210,Orissa,708,398,Koraput,1508,2,2,Southwestern plateau,1,5,5.1,18.8,82.7
8,210,Orissa,709,376,Mayurbhanja,1509,2,4,Northern plateau,1,5,5.1,19.1,86.4
8,210,Orissa,710,390,Phulbani(Kandhamal),1510,2,2,Southwestern plateau,1,5,5.1,20.1,84.4
8,210,Orissa,711,387,Puri,1511,2,1,Coastal plains,1,2,2.1,19.8,85.8
8,210,Orissa,712,372,Sambalpur,1512,1,3,Central plateau,3,5,5.1,21.5,84
8,210,Orissa,713,374,Sundargarh,1513,1,4,Northern plateau,3,5,5.1,21.5,84.9
9,30,Punjab,165,350,Gurdaspur,1604,2,2,Mojha division,2,4,4.1,32.3,75.7
9,30,Punjab,166,490,Amritsar,1601,2,2,Mojha division,2,4,4.1,31.6,74.9
9,30,Punjab,167,360,Kapurthala,1608,2,3,Dobra division,2,4,4.1,31.1,75.4
9,30,Punjab,168,370,Jalandhar,1607,2,3,Dobra division,2,4,4.1,31.5,75.6
9,30,Punjab,169,380,Hoshiarpur,1606,2,3,Dobra division,2,4,4.1,31.6,75.9
9,30,Punjab,170,510,Roopnagar Ropar,1611,2,1,Malwa division,2,4,4.1,30.3,76.5
9,30,Punjab,171,410,Ludhiana,1609,2,1,Malwa division,2,4,4.1,30.9,75.9
9,30,Punjab,172,430,Ferozpur,1605,2,2,Mojha division,4,4,4.1,30.9,74.6
9,30,Punjab,174,460,Bhatinda,1602,2,1,Malwa division,4,4,4.2,31.6,75.3
9,30,Punjab,175,530,Sangrur,1612,2,1,Malwa division,4,4,4.1,31,75.9
9,30,Punjab,176,480,Patiala,1610,2,1,Malwa division,2,4,4.1,30,76.5
10,80,Rajasthan,139,119,Ajmer,1701,1,2,Ajmer division,3,5,5.3,26.5,74.6
10,80,Rajasthan,140,104,Alwar,1702,2,3,Jaipur division,2,4,4.2,26.4,76.6
10,80,Rajasthan,141,125,Banswara,1703,1,5,Udaipur division,3,5,5.3,23.6,74.5
10,80,Rajasthan,142,115,Barmer,1704,2,4,Jodhpur division,4,1,1.1,25.8,71.4
10,80,Rajasthan,143,105,Bharatpur,1705,2,3,Jaipur division,2,4,4.2,26.7,77.9
10,80,Rajasthan,144,122,Bhilwara,1706,1,2,Ajmer division,3,5,5.3,25.6,74.9
10,80,Rajasthan,145,101,Bikaner,1707,2,1,Bikaner division,4,1,1.2,28,73.3
10,80,Rajasthan,146,121,Bundi,1708,1,6,Kota division,3,5,5.3,25.6,75.7
10,80,Rajasthan,147,126,Chittorgarh,1709,1,5,Udaipur division,3,5,5.3,24.8,75.5
10,80,Rajasthan,148,102,Churu,1710,2,1,Bikaner division,4,1,1.2,28.4,74.4
10,80,Rajasthan,149,124,Dungarpur,1712,1,5,Udaipur division,3,5,5.3,23.8,73.9
10,80,Rajasthan,150,990,Ganganagar,1713,2,1,Bikaner division,4,4,4.2,29.9,73.9
10,80,Rajasthan,151,110,Jaipur,1714,2,3,Jaipur division,2,4,4.2,26.9,75.8
10,80,Rajasthan,152,114,Jaisalmer,1715,2,4,Jodhpur division,4,1,1.1,26.9,70.9
10,80,Rajasthan,153,116,Jalore,1716,2,4,Jodhpur division,4,1,1.1,25.1,72.2
10,80,Rajasthan,154,129,Jhalawar,1717,1,6,Kota division,3,5,5.3,24.5,76.2
10,80,Rajasthan,155,103,Jhunjhunu,1718,2,3,Jaipur division,4,1,1.1,28.1,75.5
10,80,Rajasthan,156,113,Jodhpur,1719,2,4,Jodhpur division,4,1,1.1,26.3,73.1
10,80,Rajasthan,157,127,Kota,1720,1,6,Kota division,3,5,5.3,25.2,75.9
10,80,Rajasthan,158,112,Nagaur,1721,2,2,Ajmer division,4,1,1.1,27,74
10,80,Rajasthan,159,118,Pali,1722,1,4,Jodhpur division,3,1,1.1,25.7,73.6
10,80,Rajasthan,160,108,Swami Madhopur,1723,2,6,Kota division,2,5,5.3,26.4,76.8
10,80,Rajasthan,161,111,Sikar,1724,2,3,Jaipur division,2,1,1.1,27.6,75.1
10,80,Rajasthan,162,117,Sirohi,1726,1,4,Jodhpur division,3,,1,1.1,24.7
10,80,Rajasthan,163,120,Tonk,1725,1,2,Ajmer division,3,5,5.3,26.1,75.6
10,80,Rajasthan,164,130,Udaipur,1727,1,5,Udaipur division,3,5,5.3,24.6,73.7
11,330,Tamil Nadu,83,634,Chengalpattu MGR Kanchipuram,1901,2,2,Tondai Nadu region,1,2,2.1,24.6,79.9
11,330,Tamil Nadu,84,617,South Arcot Cuddalore,1915,2,2,Tondai Nadu region,1,2,2.1,9.3,78.3
11,330,Tamil Nadu,85,605,North Arcot Vellore,1909,1,2,Tondai Nadu region,3,5,5.1,12.9,79.2
11,330,Tamil Nadu,86,608,Salem,1914,1,3,Kongu Nadu region,3,5,5.3,11.7,78
11,330,Tamil Nadu,87,632,Coimbatore,1902,1,3,Kongu Nadu region,3,5,5.1,11,77
11,330,Tamil Nadu,88,614,Tiruchirapalli Trichy,1917,1,1,Chola Nadu region,3,5,5.1,10.8,78.7
11,330,Tamil Nadu,89,620,Thanjavur,1916,1,1,Chola Nadu region,3,2,2.1,10.8,79.9
11,330,Tamil Nadu,90,623,Madurai,1907,1,4,Pandya Nadu region,3,5,5.1,9.9,78.1
11,330,Tamil Nadu,91,626,Ramananthapuram,1913,1,4,Pandya Nadu region,3,2,2.1,9.2,78.5
11,330,Tamil Nadu,92,628,Thirunelveli,1918,1,4,Pandya Nadu region,3,5,5.1,8.7,77.8
11,330,Tamil Nadu,93,611,The Nilgiris,1908,2,3,Kongu Nadu region,1,5,5.1,11.4,77.4
11,330,Tamil Nadu,94,629,Kanyakumari,1905,1,4,Pandya Nadu region,3,2,2.2,8.3,77.3
11,330,Tamil Nadu,999,603,Chennai,1929,2,2,Tondai Nadu region,0,2,2.1,13.1,80.2
12,90,Uttar Pradesh,189,132,Saharanpur,2150,2,1,Saharanpur division,2,4,4.3,29.9,77.9
12,90,Uttar Pradesh,190,133,Muzaffarnagar,2143,2,1,Saharanpur division,2,4,4.3,29.5,77.7
12,90,Uttar Pradesh,191,138,Meerut,2140,2,3,Meerut division,2,4,4.3,29,77.7
12,90,Uttar Pradesh,192,142,Buland Shahar,2114,2,3,Meerut division,2,4,4.1,28.3,77.9
12,90,Uttar Pradesh,194,143,Aligarh,2102,2,5,Aligarh division,2,4,4.1,27.9,78.1
12,90,Uttar Pradesh,195,145,Mathura,2139,2,4,Agra division,2,4,4.1,27.6,77.6
12,90,Uttar Pradesh,196,146,Agra,2101,2,4,Agra division,2,4,4.1,27.2,78
12,90,Uttar Pradesh,197,148,Mainpuri,2138,2,4,Agra division,2,4,4.1,27.3,79.1
12,90,Uttar Pradesh,198,201,Etah,2118,2,5,Aligarh division,2,4,4.1,27.6,78.8
12,90,Uttar Pradesh,199,150,Bareilly,2110,2,6,Bareilly division,2,4,4.1,28.4,79.4
12,90,Uttar Pradesh,200,149,Budaun,2113,2,6,Bareilly division,2,4,4.1,28.1,79
12,90,Uttar Pradesh,201,135,Moradabad,2142,2,2,Moradabad division,2,4,4.3,28.7,78.7
12,90,Uttar Pradesh,202,152,Shahjahanpur,2151,2,6,Bareilly division,2,4,4.1,28,79.9
12,90,Uttar Pradesh,203,151,Pilibhit,2145,2,6,Bareilly division,2,4,4.1,28.5,79.9
12,90,Uttar Pradesh,204,136,Rampur,2149,2,2,Moradabad division,2,4,4.1,28.8,79.1
12,90,Uttar Pradesh,205,134,Bijnor,2112,2,2,Moradabad division,2,4,4.3,28.7,78.7
12,90,Uttar Pradesh,206,159,Farrukhabad,2121,2,8,Kanpur division,2,4,4.1,27.2,79.5
12,90,Uttar Pradesh,207,161,Etawah,2119,2,8,Kanpur division,2,4,4.1,27.1,78.7
12,90,Uttar Pradesh,208,205,Kanpur,2133,2,8,Kanpur division,2,4,4.1,26.4,80.3
12,90,Uttar Pradesh,209,172,Fatehpur,2122,2,11,Allahabad division,2,4,4.1,25.9,80.1
12,90,Uttar Pradesh,210,175,Allahabad,2103,2,11,Allahabad division,2,4,4.1,25.5,81.7
12,90,Uttar Pradesh,211,166,Jhansi,2132,2,9,Jhansi division,2,5,5.3,25.5,78.6
12,90,Uttar Pradesh,213,165,Jalaun,2130,2,9,Jhansi division,2,5,5.3,26,79.5
12,90,Uttar Pradesh,214,168,Hamirpur,2128,2,10,Chitrakut division,2,5,5.3,25.5,79.9
12,90,Uttar Pradesh,215,170,Banda,2108,2,10,Chitrakut division,2,5,5.3,25.5,80.4
12,90,Uttar Pradesh,216,197,Varanasi,2157,2,17,Varanasi division,2,4,4.1,25.3,83
12,90,Uttar Pradesh,217,199,Mirzpur,2141,2,18,Vindhyachal division,2,4,4.1,25,82.6
12,90,Uttar Pradesh,218,194,Jaunpur,2131,2,17,Varanasi division,2,4,4.1,25.7,82.6
12,90,Uttar Pradesh,219,195,Ghazipur,2125,2,17,Varanasi division,2,4,4.1,25.7,83.6
12,90,Uttar Pradesh,220,193,Ballia,2107,2,16,Azamgarh division,2,4,4.1,25.9,84
12,90,Uttar Pradesh,221,188,Gorakhpur,2127,2,15,Gorakhpur division,1,4,4.1,26.8,83.4
12,90,Uttar Pradesh,222,190,Deoria,2117,2,15,Gorakhpur division,1,4,4.1,26.8,83.9
12,90,Uttar Pradesh,223,185,Basti,2111,2,14,Basti division,2,4,4.1,26.8,82.8
12,90,Uttar Pradesh,224,191,Azamgarh,2105,2,16,Azamgarh division,2,4,4.1,26,83.2
12,90,Uttar Pradesh,225,157,Lucknow,2137,2,7,Lucknow division,2,4,4.1,26.9,80.9
12,90,Uttar Pradesh,226,156,Unnao,2155,2,7,Lucknow division,2,4,4.1,26.6,80.5
12,90,Uttar Pradesh,227,158,Rae - Bareily,2148,2,7,Lucknow division,2,4,4.1,26.2,81.2
12,90,Uttar Pradesh,228,154,Sitapur,2152,2,7,Lucknow division,2,4,4.1,27.6,80.8
12,90,Uttar Pradesh,229,155,Hardoi,2129,2,7,Lucknow division,2,4,4.1,27.4,80.1
12,90,Uttar Pradesh,230,153,Kheri,2135,2,7,Lucknow division,1,4,4.1,27.9,80.8
12,90,Uttar Pradesh,231,177,Faizabad,2120,2,12,Faizabad division,2,4,4.1,26.5,82.4
12,90,Uttar Pradesh,232,183,Gonda,2126,2,13,Devipatan division,1,4,4.1,27.1,82
12,90,Uttar Pradesh,233,180,Bahraich,2106,2,13,Devipatan division,1,4,4.1,27.6,81.6
12,90,Uttar Pradesh,234,179,Sultanpur,2153,2,12,Faizabad division,2,4,4.1,26.2,82
12,90,Uttar Pradesh,235,173,Pratapgarh,2147,2,11,Allahabad division,2,4,4.1,25.8,81.8
12,90,Uttar Pradesh,236,176,Barabanki,2109,2,12,Faizabad division,2,4,4.1,26.9,81.3
13,190,West Bengal,800,346,24,Parganas,2215,2,3,Presidency division,1,4,4.1,22.4
13,190,West Bengal,803,336,Nadia,2213,2,3,Presidency division,1,4,4.1,23.4,88.5
13,190,West Bengal,804,333,Murshidabad,2212,2,3,Presidency division,1,4,4.1,24.1,88.3
13,190,West Bengal,805,335,Burdwan,2202,2,2,Burdwan division,1,4,4.1,23.2,87.9
13,190,West Bengal,806,334,Birbhum,2203,2,2,Burdwan division,1,4,4.1,23.7,87.7
13,190,West Bengal,807,339,Bankura,2201,2,2,Burdwan division,1,5,5.1,24.4,87.2
13,190,West Bengal,810,338,Hooghly,2207,2,2,Burdwan division,1,4,4.1,22.9,88.3
13,190,West Bengal,811,341,Howrah,2206,2,3,Presidency division,1,4,4.1,22.6,88
13,190,West Bengal,812,328,Jalpaiguri,2208,2,1,Jalpaiguri division,1,3,3.2,26.5,88.7
13,190,West Bengal,813,327,Darjeeling,2205,2,1,Jalpaiguri division,1,3,3.2,27.1,88.3
13,190,West Bengal,814,332,Malda,2210,2,1,Jalpaiguri division,1,4,4.1,25,88.1
13,190,West Bengal,816,329,Cooch Behar,2209,2,1,Jalpaiguri division,2,5,5.1,26,89.5
13,190,West Bengal,817,340,Purulia,2214,2,2,Burdwan division,1,5,5.1,23,86.4
13,190,West Bengal,818,347,Midnapur,2211,2,2,Burdwan division,1,5,5.1,22.4,87.3
13,190,West Bengal,821,342,Kolkata,2220,2,3,Presidency division,1,5,5.1,24,88
13,190,West Bengal,822,348,West Dinajpur,2216,2,1,Jalpaiguri division,1,5,5.1,25.5,88.4
14,220,Chhattisgarh,1,409,Durg,1013,1,2,Durg division,3,5,5.1,21.2,81.3
14,220,Chhattisgarh,2,414,Bastar,1002,2,1,Bastar division,1,5,5.1,19.1,82
14,220,Chhattisgarh,3,410,Raipur,1027,1,3,Raipur division,3,5,5.1,21.2,81.7
14,220,Chhattisgarh,4,406,Bilaspur,1006,1,4,Bilaspur division,3,5,5.1,22.1,82.1
14,220,Chhattisgarh,5,403,Raigarh,1026,1,4,Bilaspur division,3,5,5.1,21.9,83.4
14,220,Chhattisgarh,6,401,Surguja,1034,1,5,Surguja division,3,5,5.1,23.1,83.2
15,200,Jharkhand,910,362,Santhal Paragana Dumka,3442,1,4,Santhal Paragana division,3,5,5.1,24.9,87.6
15,200,Jharkhand,913,360,Hazaribagh,3413,2,2,North Chotanagpur division,1,5,5.1,24,85.4
15,200,Jharkhand,914,354,Dhanbad,3407,2,2,North Chotanagpur division,1,5,5.1,23.8,86.4
15,200,Jharkhand,915,358,Palamau,3423,1,3,Palamau division,3,5,5.1,24.1,84.1
15,200,Jharkhand,916,364,Ranchi,3428,2,1,South Chotanagpur division,1,5,5.1,23.4,85
